outcome,prev_outcome,performance,RewP
loss,loss,0.9981036342082441,11.30457714914728
win,win,0.9330757622665597,8.908309287103894
win,win,0.6775367027710912,10.876470247295366
loss,win,0.7834931591911339,9.940251309657151
loss,loss,0.5553938291553691,8.777955420073576
win,loss,0.5155080936161771,4.328559783989771
win,loss,0.970584640258891,7.617124004205152
loss,win,0.8188674982401638,4.0450309928166455
win,loss,0.9233628165724529,5.2655225805834505
loss,win,0.9805363988984088,4.403656313054969
win,loss,0.9510477712774876,9.292687856880363
win,win,0.9222046320477031,8.940186227746036
loss,win,0.8626983467672773,7.837937681850729
win,win,0.5394494270855182,3.6405427762831764
win,loss,0.9737729800957162,8.003820155265037
win,loss,0.7742167515184923,7.47454545593446
loss,win,0.8234135747167532,12.31536376921476
win,win,0.7815051705701082,7.16507354625178
win,win,0.8020005271427391,3.9018155524621783
win,loss,0.6928540877456203,10.179742549461578
loss,win,0.5845181587523656,11.163212315999136
win,win,0.7505241753838616,5.242500358892535
win,win,0.808013196905914,4.430217839757657
loss,win,0.9623662431836488,11.261519024891635
win,win,0.6998603185380463,5.733357292579726
loss,win,0.6280497270948251,6.168543167194814
loss,win,0.7147895470066723,8.8713570139187
loss,win,0.8063924344859366,10.568720407068058
win,loss,0.5328512961260143,4.25035321182057
loss,win,0.5920266847940909,10.981108965904408
win,win,0.9582271921283898,8.905276729717531
loss,win,0.8833698957722447,5.098261986106516
win,win,0.7470893536650212,9.893270215474619
win,loss,0.7555865835996884,5.548835119498363
win,win,0.562755494563908,6.576225129109266
loss,loss,0.6614103026497169,13.674966889769928
win,loss,0.8726393985534407,4.2303185904624225
win,win,0.9903480505219462,8.45754868141542
win,win,0.9760150733512246,6.665526139667631
win,loss,0.8266987483414329,10.075350524804504
win,win,0.980808315068451,13.10333703955381
win,loss,0.8621402305532999,13.503921397333421
win,win,0.7920544228081033,6.8973587520330195
win,win,0.7738840701195436,5.324263195993682
loss,loss,0.5241456939970082,5.704773009795192
loss,win,0.8764940129430774,8.084864303725338
loss,win,0.594343209780818,8.208328826951652
loss,win,0.8875705000026562,14.18110044451613
win,loss,0.8047161015772507,3.8454391726378168
win,win,0.760367130844339,6.435052569932033
